Ticker,Name,Sector,Region,P/E Ratio,P/B Ratio,P/S Ratio,Revenue Growth (%),Earnings Growth (%),Profit Margin (%),Free Cash Flow,Div_2025,Momentum 6M (%),Momentum 12M (%),Value Score,Growth Score,Momentum Score,Overall AI Score
032830.KS,SAMSUNG LIFE,Finance,South Korea,,,1.19,29.4,187.0,6.61,-35525444501504.0,0.0,51.94,179.24,3,2,1,2
8591.T,ORIX CORPORATION,Finance,Japan,11.38,1.14,1.66,12.5,36.6,15.0,0.0,151.6,23.97,53.7,2,3,1,2
8725.T,MS&AD INS GP HLDGS,Finance,Japan,8.35,1.29,0.83,-6.7,2.1,10.22,0.0,110.0,17.32,21.63,1,4,2,2
8750.T,DAI-ICHI LIFE HOLDINGS INC,Finance,Japan,12.66,1.25,0.52,15.6,35.0,4.6,0.0,43.0,14.43,25.95,2,2,2,2
8604.T,NOMURA HOLDINGS INC.,Finance,Japan,10.32,0.98,1.74,9.9,-8.7,17.63,0.0,51.0,14.39,33.62,1,4,2,2
8601.T,DAIWA SECURITIES GROUP,Finance,Japan,13.55,1.19,2.81,21.3,0.1,21.35,0.0,57.0,24.76,44.26,2,3,1,2
7182.T,JAPAN POST BANK CO LTD,Finance,Japan,21.65,0.99,5.19,7.0,62.4,27.07,0.0,58.0,36.48,70.68,3,3,1,2
8308.T,RESONA HOLDINGS,Finance,Japan,16.72,1.37,3.7,24.3,46.5,24.78,0.0,28.0,17.8,30.73,3,2,2,2
BNP.PA,BNP PARIBAS ACT.A,Finance,Europe,7.98,0.79,1.91,9.7,33.9,25.5,0.0,5.16,7.61,14.34,1,3,3,2
INGA.AS,ING GROEP N.V.,Finance,Europe,10.34,1.18,2.58,118.2,3977.7,34.03,0.0,1.09,0.81,27.12,2,2,3,2
005930.KS,SamsungElec,Technology,South Korea,,,4.0,23.8,162.2,13.27,23944373469184.0,0.0,181.49,238.37,4,1,1,2
000660.KS,SK hynix,Technology,South Korea,,,7.16,66.1,85.2,44.18,17581313359872.0,0.0,250.55,382.32,4,1,1,2
066570.KS,LGELECTRONICS,Technology,South Korea,,,0.24,4.8,0.0,1.08,1445404737536.0,0.0,55.95,44.2,3,3,1,2
028260.KS,SAMSUNG C&T,Technology,South Korea,,,1.19,8.4,68.0,5.99,-47558209536.0,0.0,68.63,142.55,3,3,1,2
JNJ,Johnson & Johnson,Healthcare,US,21.32,6.95,6.02,9.1,48.6,28.46,16633249792.0,5.14,35.15,47.85,4,2,1,2
PRU.L,PRUDENTIAL PLC ORD 5P,Finance,UK,9.32,178.27,1.85,14.5,30.8,27.57,5727499776.0,0.27,3.36,33.31,3,2,2,2
8316.T,SUMITOMO MITSUI FINANCIAL GROUP,Finance,Japan,13.79,1.26,5.31,21.8,14.1,20.73,0.0,140.0,27.4,33.95,3,3,2,2
CB,Chubb Limited,Finance,US,12.56,1.71,2.11,5.5,27.9,17.29,12136875008.0,3.82,18.12,11.39,3,2,2,2
HNR1.DE,HANNOVER RUECK SE NA O.N.,Finance,Germany,11.88,2.43,1.21,18.7,34.1,10.19,2900312576.0,12.5,5.86,-1.07,2,2,3,2
TLX.DE,Talanx AG                     N,Finance,Germany,11.46,2.0,0.59,37.7,34.1,5.41,5313287168.0,3.6,-7.38,9.69,2,1,4,2
BMY,Bristol-Myers Squibb Company,Healthcare,US,16.61,6.34,2.43,1.3,1392.1,14.64,11146874880.0,2.49,30.96,-1.12,3,2,3,2
CVS,CVS Health Corporation,Healthcare,US,51.42,1.21,0.23,8.4,76.6,0.44,5929500160.0,2.66,-3.02,10.67,2,2,3,2
128940.KS,HanmiPharm,Healthcare,South Korea,,,4.84,0.1,29.4,7.95,95113674752.0,0.0,92.77,131.4,4,3,1,2
4516.T,NIPPON SHINYAKU CO,Healthcare,Japan,10.57,1.19,2.03,13.1,-17.2,17.98,5011999744.0,124.0,54.81,27.38,1,3,1,2
UCB.BR,UCB,Healthcare,Europe,30.67,4.32,6.06,26.6,26.3,20.13,1825874944.0,1.45,20.65,38.54,4,2,2,2
IPN.PA,IPSEN,Healthcare,Europe,28.07,2.85,3.14,9.3,-3.9,11.29,651950016.0,1.4,31.46,35.86,3,3,1,2
SDR.L,SCHRODERS PLC ORD 20P,Healthcare,UK,16.84,204.1,2.6,15.5,84.9,15.81,1214824960.0,0.22,51.41,51.5,3,1,1,2
4503.T,ASTELLAS PHARMA,Healthcare,Japan,34.25,2.42,2.07,10.4,0.0,15.67,301368999936.0,76.0,45.4,67.49,3,2,1,2
4502.T,TAKEDA PHARMACEUTICAL CO LTD,Healthcare,Japan,81.3,1.19,2.04,4.2,330.2,2.53,536711266304.0,198.0,29.81,32.89,3,2,2,2
4507.T,SHIONOGI & CO,Healthcare,Japan,16.78,1.89,6.16,23.5,47.4,41.86,0.0,9.33,28.28,50.69,3,2,1,2
4578.T,OTSUKA HLDGS CO LTD,Healthcare,Japan,15.65,1.87,2.29,8.4,-55.9,14.71,191032754176.0,140.0,29.9,36.56,2,3,2,2
4506.T,SUMITOMO PHARMA CO LTD,Healthcare,Japan,4.76,2.55,1.63,7.3,-83.5,24.28,40298999808.0,0.0,10.65,156.86,2,3,1,2
4528.T,ONO PHARMACEUTICAL CO,Healthcare,Japan,20.96,1.31,2.17,4.2,93.1,12.25,64341999616.0,80.0,38.12,47.2,2,2,1,2
BAYN.DE,Bayer AG                      N,Healthcare,Germany,,1.45,0.83,-2.5,0.0,-7.94,8533000192.0,0.11,39.58,60.74,2,3,1,2
FRE.DE,Fresenius SE & Co. KGaA       I,Healthcare,Germany,21.31,1.32,1.1,5.9,82.4,5.09,1452125056.0,1.0,-6.8,13.06,2,2,3,2
M12.DE,M1 Kliniken AG                I,Healthcare,Germany,15.31,2.29,0.77,9.4,18.9,5.0,38983932.0,0.5,0.41,3.14,1,2,3,2
DRW3.DE,DRAEGERWERK VZO O.N.,Healthcare,Germany,13.3,1.04,0.47,7.6,0.0,3.54,134075624.0,2.03,30.38,48.89,1,3,1,2
GSK.L,GSK PLC ORD 31 1/4P,Healthcare,UK,14.03,477.95,2.39,6.2,54.7,17.5,3284124928.0,0.66,30.58,29.14,3,2,2,2
GOOGL,Alphabet Inc.,Technology,US,27.84,8.76,9.04,18.0,31.1,32.81,38088376320.0,0.83,18.33,84.18,4,2,1,2
AMD,"Advanced Micro Devices, Inc.",Technology,US,76.84,5.21,9.48,34.1,217.1,12.52,4587250176.0,0.0,27.92,89.15,4,1,1,2
BAYN.DE,Bayer AG                      N,Materials,Germany,,1.45,0.83,-2.5,0.0,-7.94,8533000192.0,0.11,39.58,60.74,3,3,1,2
KWS.DE,KWS SAAT SE & Co. KGaA        I,Materials,Germany,11.31,1.45,1.29,8.6,0.0,10.82,172794880.0,1.25,3.11,14.04,2,3,3,2
RIO.L,RIO TINTO PLC ORD 10P,Materials,UK,13.79,217.63,1.76,14.6,-5.6,17.29,3495749888.0,4.02,33.12,29.05,3,3,2,2
GLEN.L,GLENCORE PLC ORD USD0.01,Materials,UK,260.05,208.95,0.25,14.3,0.0,0.15,5955874816.0,0.17,62.99,67.82,4,2,1,2
3407.T,ASAHI KASEI CORP,Materials,Japan,15.04,1.05,0.69,0.8,44.7,5.18,0.0,40.0,31.36,48.1,1,3,1,2
051910.KS,LGCHEM,Materials,South Korea,,,0.53,0.0,0.0,-3.96,-6601622683648.0,0.0,5.8,21.07,3,4,3,3
005490.KS,POSCO Holdings,Materials,South Korea,,,0.38,-5.4,0.0,0.95,-1562359365632.0,0.0,22.71,6.94,3,4,2,3
AKE.PA,ARKEMA,Materials,Europe,99.02,0.63,0.42,-7.4,0.0,0.7,660000000.0,3.6,-9.5,-30.68,2,4,5,3
BAS.DE,BASF SE                       N,Materials,Europe,28.57,1.23,0.68,-5.6,0.0,2.71,357124992.0,2.25,7.43,-4.46,2,3,3,3
